93.00,101.00;69.00,83.00
231.28,221.35;423.47,430.35
373.42,387.17;354.70,356.99
378.00,388.70;361.57,368.45
435.32,429.97;489.96,480.79
491.10,486.52;353.17,366.16
494.16,500.27;362.34,353.17
397.11,403.22;315.72,326.42
374.95,367.31;447.16,458.63
371.13,361.19;441.81,450.22
256.50,256.50;470.09,484.61
319.16,303.11;344.00,346.29
262.61,258.79;283.63,272.17
452.13,459.01;457.10,445.63
496.45,503.33;501.42,491.49
99.08,111.31;357.75,351.64
52.38,43.29;331.86,322.01
149.33,160.69;398.51,396.24
93.28,99.34;450.01,437.90
340.19,352.31;405.33,407.60
405.33,398.51;441.68,450.77
404.57,397.75;481.07,491.67
339.43,343.98;244.00,258.39
349.28,349.28;248.55,261.42
337.92,327.32;253.85,244.76
370.49,381.85;172.05,178.11
359.88,372.76;173.57,177.35
436.38,450.77;209.92,204.62
489.40,501.52;322.77,325.80
287.17,293.23;303.84,315.96
222.01,207.45;446.97,461.53
205.91,197.48;470.73,486.82
214.34,201.31;493.72,506.75
235.04,247.30;486.82,495.25
238.10,226.61;501.39,507.52
291.76,281.03;467.66,477.63
183.69,183.69;410.94,425.51
172.96,185.22;404.81,411.71
175.25,176.02;374.15,388.72
156.09,150.73;361.89,375.69
167.59,157.63;352.69,364.96
189.05,182.92;352.69,366.49
90.94,75.61;350.39,357.29
77.91,67.18;349.63,336.60
84.81,83.28;340.43,354.99
75.61,87.11;310.54,320.50
123.90,110.10;299.81,301.34
16.60,34.99;436.24,431.64
23.49,42.66;428.57,419.37
22.73,38.06;441.60,434.70
102.44,112.40;398.68,387.95
420.52,435.09;293.67,296.74
472.64,454.25;310.54,309.00
455.01,446.58;302.10,311.30
409.79,413.63;350.39,365.72
399.83,416.69;411.71,407.88
474.94,469.58;395.61,413.24
317.82,325.48;374.92,384.88
376.84,392.93;398.68,392.55
343.11,336.98;439.30,454.63
330.08,333.91;479.93,492.96
94.78,97.84;431.64,445.43
90.94,89.41;437.77,453.87
83.28,77.91;451.57,463.83
88.64,103.21;477.63,471.49
96.31,96.31;484.52,499.09
126.20,132.33;413.24,397.15
146.13,160.69;394.08,387.18
220.48,230.44;371.09,382.58
242.70,223.54;413.24,414.78
223.54,218.18;408.64,396.38
241.94,233.51;427.04,437.00
249.60,264.16;404.81,415.54
359.97,374.54;467.66,478.39
221.24,234.27;171.04,184.07
106.27,91.71;224.69,230.06
106.27,91.71;229.29,234.66
104.74,87.11;207.83,210.13
195.18,173.72;33.07,35.37
365.34,376.07;135.78,145.75
292.52,281.03;218.56,230.82
422.06,410.56;457.70,450.80
486.44,486.44;444.67,460.76
478.78,480.31;453.87,469.19
496.40,510.20;394.08,394.08
138.46,140.76;464.60,448.50
420.52,418.99;384.12,400.21
48.02,55.69;491.42,504.45
38.06,34.99;486.06,500.62
39.59,45.72;476.86,461.53
159.93,148.43;313.60,323.57
204.38,184.45;200.16,200.16
190.58,171.42;204.76,209.36
