19.75,14.36;9.35,23.98
404.71,385.46;345.04,351.20
428.58,422.42;345.81,362.75
420.11,404.71;351.20,359.67
392.39,373.14;358.13,365.06
361.59,353.13;308.08,318.86
316.94,298.46;296.54,291.92
302.31,319.25;284.99,285.76
331.57,308.47;266.51,271.13
344.66,329.26;275.75,262.66
346.20,333.11;268.05,258.04
343.89,327.72;258.81,246.49
360.82,369.29;256.50,242.64
349.28,356.98;229.55,245.72
359.28,371.60;226.47,238.79
354.67,357.75;187.98,202.61
380.07,380.07;206.45,206.45
380.84,387.77;207.22,225.70
377.76,387.00;217.23,236.48
390.85,401.63;255.73,267.28
330.80,314.63;194.14,194.14
196.83,177.58;382.77,381.23
156.79,138.32;367.37,359.67
152.18,130.62;358.90,351.97
163.72,139.86;352.74,351.20
285.37,303.08;382.00,375.07
312.32,298.46;336.57,324.25
310.01,294.61;342.73,331.95
296.92,276.13;341.19,341.96
317.71,330.80;382.00,372.76
321.56,306.93;372.76,374.30
328.49,319.25;351.97,336.57
285.37,278.44;407.41,395.86
206.07,216.85;419.72,437.43
196.06,206.07;445.90,460.53
155.25,142.94;472.08,459.76
113.68,105.21;487.48,474.39
189.90,172.19;470.54,475.93
201.45,201.45;389.70,406.64
370.06,385.46;400.48,410.48
381.61,393.16;396.63,405.10
397.01,407.02;386.62,397.40
55.93,39.00;363.52,368.14
27.45,6.66;367.37,367.37
32.84,22.83;391.24,376.61
55.16,35.15;345.04,349.66
31.30,9.74;353.51,352.74
112.91,96.74;395.09,383.54
85.96,103.67;373.53,376.61
67.48,47.47;376.61,375.84
72.87,67.48;380.46,398.17
60.55,43.62;385.08,382.00
53.62,34.38;391.24,395.09
47.47,65.17;412.02,406.64
42.85,22.06;424.34,428.19
51.32,30.53;429.73,431.27
34.38,18.21;444.36,432.04
33.61,18.98;459.76,472.08
54.39,31.30;453.60,450.52
66.71,85.19;478.24,485.17
58.24,49.01;482.86,499.80
150.64,129.85;434.35,432.81
185.28,162.95;449.75,448.21
174.50,155.25;439.74,432.04
168.34,186.82;421.26,431.27
249.96,253.04;459.76,479.78
272.28,262.27;475.16,465.15
289.99,276.90;472.08,456.68
270.74,253.04;439.74,431.27
276.13,293.84;388.16,395.09
265.35,281.52;378.92,385.85
185.28,173.73;338.11,323.48
350.82,333.11;354.28,353.51
336.19,316.94;362.75,361.98
343.89,360.05;378.92,370.45
279.21,283.83;240.33,258.81
47.47,33.61;460.53,474.39
115.22,99.82;408.18,396.63
78.26,96.74;421.26,415.10
65.17,78.26;435.12,421.26
259.19,238.41;408.95,408.95
288.45,270.74;424.34,415.87
310.01,292.30;422.03,415.87
269.97,286.91;319.63,313.47
397.01,382.38;326.56,315.78
427.04,410.87;311.16,322.71
408.56,421.65;275.75,286.53
413.95,429.35;258.81,268.82
420.11,417.03;160.26,175.66
417.80,411.64;145.63,161.80
419.34,424.73;130.23,153.33
420.11,431.66;118.68,136.39
496.33,496.33;20.13,37.07
506.34,496.33;36.30,50.93
486.32,497.10;107.13,118.68
134.47,119.84;125.61,131.77
129.85,114.45;135.62,142.55
8.20,-4.89;191.06,205.68
336.19,349.28;3.96,10.89
331.57,308.47;10.89,7.04
382.38,397.01;44.77,52.47
373.91,374.68;60.17,80.19
387.77,407.02;124.84,134.85
269.97,262.27;358.90,371.99
279.98,263.04;365.83,374.30
134.47,152.95;261.12,263.43
118.30,134.47;253.42,252.65
217.62,201.45;271.90,279.60
213.00,195.29;268.82,274.98
138.32,138.32;151.79,171.81
220.70,224.55;32.45,48.62
344.66,352.36;130.23,147.94
26.68,15.90;164.88,173.35
35.15,54.39;157.18,157.95
