365.57,350.42;91.77,90.25
323.91,323.91;293.23,306.11
316.33,302.70;295.51,292.48
344.36,336.03;274.30,264.45
346.63,336.03;266.72,257.64
344.36,332.24;256.88,248.55
327.70,311.79;227.34,222.04
360.26,351.93;308.38,318.99
401.16,386.77;335.65,331.86
402.68,390.56;346.25,348.52
249.00,244.00;266.00,280.00
312.00,301.00;333.00,326.00
344.12,356.31;377.26,371.93
328.12,322.02;352.12,339.93
311.36,298.40;339.93,335.36
296.88,281.64;340.69,340.69
315.17,311.36;353.64,342.98
348.69,337.26;353.64,353.64
334.98,322.79;361.26,361.26
419.55,406.60;351.36,357.45
427.17,424.88;347.55,359.74
472.12,461.45;291.17,298.79
494.98,484.31;182.21,191.36
498.79,484.31;195.17,194.40
489.64,482.02;162.40,169.26
196.31,184.12;382.60,381.07
198.60,186.40;388.69,390.21
201.64,201.64;390.21,400.88
195.55,201.64;445.83,456.50
181.83,167.36;448.88,446.60
154.40,147.55;471.74,463.36
148.31,134.60;434.40,434.40
133.83,117.83;419.17,422.21
114.02,103.36;408.50,400.12
111.74,101.07;394.79,388.69
88.12,100.31;374.98,374.98
67.55,55.36;378.02,378.02
56.88,43.93;365.83,368.12
27.17,14.98;366.60,367.36
54.60,40.88;346.79,347.55
57.64,63.74;208.12,217.26
185.64,169.64;225.64,220.31
185.64,198.60;210.40,209.64
219.17,224.50;198.21,207.36
234.40,245.07;214.98,222.60
252.69,252.69;458.79,470.21
190.21,174.98;471.74,474.02
53.07,40.12;454.98,452.69
69.83,56.88;451.17,449.64
47.74,60.69;410.79,407.74
52.31,37.83;390.98,393.26
33.26,27.17;390.98,382.60
51.55,38.60;427.55,429.83
43.17,30.21;423.74,425.26
288.50,274.79;423.74,418.40
192.50,199.36;310.21,319.36
219.93,221.45;317.83,329.26
214.60,215.36;327.74,339.93
184.12,175.74;337.64,328.50
155.17,142.98;366.60,361.26
53.83,37.83;235.55,237.07
392.12,398.98;255.36,266.79
321.26,329.64;378.79,371.93
405.07,414.21;83.93,92.31
388.31,395.93;183.74,192.88
393.64,403.55;203.55,209.64
396.69,408.12;218.02,224.88
382.98,386.02;207.36,218.79
248.12,236.69;240.88,244.69
248.88,232.88;235.55,235.55
296.88,293.07;204.31,217.26
277.83,288.50;387.93,390.98
285.45,297.64;380.31,375.74
320.50,305.26;371.93,373.45
34.28,42.72;20.84,35.43
55.00,41.95;38.50,49.24
81.87,68.05;66.90,79.95
77.26,64.98;63.06,74.57
68.82,55.77;65.36,76.11
57.30,41.18;84.55,93.77
76.49,85.71;94.53,107.58
74.19,56.54;254.96,255.73
117.95,134.83;180.51,174.37
132.53,117.18;109.89,114.49
254.58,257.65;31.59,47.71
222.34,231.55;6.26,20.07
282.98,299.10;90.69,98.37
411.17,431.13;23.14,23.14
422.69,428.83;6.26,18.54
477.96,475.65;49.24,29.29
471.82,463.37;49.24,33.12
495.61,497.15;69.20,87.62
421.15,428.83;119.86,134.45
419.62,424.22;129.84,145.96
329.81,307.55;194.32,192.79
368.96,365.12;159.78,175.90
414.25,423.46;245.75,261.87
408.87,420.39;232.70,250.36
398.89,410.41;254.20,263.41
454.16,437.27;331.73,327.12
425.76,407.34;311.77,319.44
415.78,396.59;314.07,314.07
369.72,385.84;402.35,409.26
383.54,395.05;397.74,406.19
397.36,410.41;387.76,396.97
266.86,260.72;360.13,375.48
221.57,202.38;380.09,376.25
170.14,188.57;261.87,259.57
187.03,172.45;256.50,242.68
185.50,166.31;234.24,230.40
208.52,216.97;420.00,434.59
14.32,19.69;201.23,186.65
162.47,137.90;354.75,352.45
167.84,160.93;348.61,326.35
358.98,373.56;228.10,241.15
348.23,356.67;231.17,247.29
238.46,216.97;183.58,178.97
227.71,207.76;184.34,177.44
374.33,372.79;60.76,81.48
385.08,383.54;76.11,94.53
286.05,275.31;406.95,391.60
243.83,249.21;419.23,444.57
170.14,186.26;422.31,431.52
48.86,32.74;460.69,478.34
52.70,38.88;477.57,492.93
40.42,46.56;489.09,506.74
114.11,104.90;486.78,473.74
383.54,399.66;46.94,53.08
274.54,284.52;202.77,217.35
269.93,286.82;168.22,177.44
