214.60,203.17;35.93,33.64
31.97,18.92;320.21,330.96
223.11,233.86;214.28,225.80
309.08,306.78;323.28,340.94
388.15,368.19;461.45,465.29
399.66,385.08;449.94,451.47
368.19,349.00;422.31,423.07
368.19,352.07;429.21,429.98
262.26,239.23;341.71,347.85
165.54,165.54;377.02,392.37
191.64,183.96;203.53,223.49
175.13,180.51;369.34,352.45
159.01,142.13;368.57,357.83
162.85,161.32;337.87,318.68
155.17,175.90;175.90,175.90
416.16,426.14;52.31,65.36
139.82,129.08;426.14,439.19
149.03,129.84;421.54,422.31
162.85,142.89;468.36,466.83
170.53,170.53;435.35,421.54
204.30,200.46;360.90,378.55
445.33,433.05;388.53,400.81
428.45,410.79;402.35,412.33
443.80,436.89;375.48,394.67
461.45,462.22;380.85,362.43
469.13,481.41;382.39,370.11
464.52,461.45;480.64,499.07
492.93,498.30;480.64,499.07
499.07,502.14;482.18,498.30
502.14,509.05;441.50,453.01
284.13,294.11;456.08,472.97
294.11,304.86;464.52,477.57
43.10,52.31;324.82,311.77
